국가별,시점,국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100)
체코,2011,229.6,21871,1.8,162897,152122,10567,6.7,101.9
체코,2012,208.9,19871,-0.8,157167,141515,10581,7,105.3
체코,2013,211.7,20133,0,162302,144320,10587,7,106.8
체코,2014,209.4,19891,2.3,175017,154233,10591,6.1,107.1
체코,2015,188,17830,5.4,157881,141367,10601,5.1,107.5
체코,2016,196.3,18575,2.5,162716,143041,10619,4,108.2
체코,2017,218.6,20636,5.2,182236,163374,10641,2.9,110.9
체코,2018,249,23420,3.2,202751,185102,10666,2.2,113.3
체코,2019,250.7,23490,2.3,199676,179569,10689,2,116.5
체코,2020,243.5,22762,-5.6,192574,171073,10709,2.6,120.2
덴마크,1995,185,35351,3,51478,45728,5233,7,72.9
덴마크,1996,187.6,35651,2.9,51480,45004,5255,6.8,74.4
덴마크,1997,173.5,32836,3.3,49119,44406,5278,5.4,76
덴마크,1998,177,33368,2.2,48839,46330,5300,5,77.4
덴마크,1999,178,33441,2.9,50399,44519,5322,5.1,79.4
덴마크,2000,164.2,30744,3.7,50380,44356,5341,4.5,81.7
덴마크,2001,164.8,30752,0.8,51068,44124,5358,4.2,83.6
덴마크,2002,178.6,33229,0.5,56304,48886,5373,4.3,85.6
덴마크,2003,218.1,40459,0.4,65267,56216,5387,5.4,87.4
덴마크,2004,251.4,46512,2.7,75620,66886,5403,5.2,88.4
덴마크,2005,264.5,48800,2.3,82278,72710,5422,4.8,90
덴마크,2006,282.9,52027,3.9,90903,84161,5444,3.9,91.7
덴마크,2007,319.4,58487,0.9,101942,97344,5470,3.8,93.3
덴마크,2008,353.4,64322,-0.5,116331,109013,5498,3.7,96.5
덴마크,2009,321.2,58163,-4.9,92115,80107,5526,6.4,97.7
덴마크,2010,322,58041,1.9,96220,82720,5555,7.8,100
덴마크,2011,344,61754,1.3,112706,96004,5583,7.8,102.8
덴마크,2012,327.1,58508,0.2,106102,91325,5611,7.8,105.2
덴마크,2013,343.6,61191,0.9,110470,97257,5638,7.4,106.1
덴마크,2014,353,62549,1.6,110739,99032,5664,6.9,106.7
덴마크,2015,302.7,53255,2.3,94567,85211,5689,6.3,107.1
덴마크,2016,313.1,54664,3.2,94731,84430,5711,6,107.4
덴마크,2017,332.1,57610,2.8,101573,92251,5732,5.8,108.6
덴마크,2018,356.9,61599,2.2,108524,101666,5752,5.1,109.5
덴마크,2019,350.1,60213,2.8,109989,97209,5772,5,110.3
덴마크,2020,355.2,60909,-2.7,107227,96800,5792,5.6,110.8
에스토니아,1995,4.5,3131,-,1839,2545,1433,9.7,42
에스토니아,1996,4.8,3377,4.9,2076,3223,1418,9.9,51.7
에스토니아,1997,5.1,3678,13,2924,4429,1410,10.4,57.2
에스토니아,1998,5.7,4088,4.3,3199,4725,1406,9.5,61.8
에스토니아,1999,5.8,4145,-0.4,2408,3428,1404,11.6,63.9
에스토니아,2000,5.7,4076,10.1,3166,4234,1399,13.4,66.5
에스토니아,2001,6.3,4509,6,3314,4300,1392,13.1,70.3
에스토니아,2002,7.4,5345,6.8,3448,4811,1383,10,72.8
에스토니아,2003,9.9,7206,7.6,4539,6481,1373,11.3,73.8
에스토니아,2004,12.1,8913,6.8,5934,8334,1364,10.3,76
에스토니아,2005,14.1,10406,9.5,7698,10213,1356,8,79.1
에스토니아,2006,17,12632,9.7,9705,13472,1349,5.9,82.6
에스토니아,2007,22.4,16742,7.6,11018,15686,1344,4.6,88.1
에스토니아,2008,24.4,18227,-5.1,12472,16059,1340,5.5,97.2
에스토니아,2009,19.7,14795,-14.4,9065,10149,1336,13.6,97.1
에스토니아,2010,19.7,14784,2.7,11598,12286,1332,16.7,100
에스토니아,2011,23.4,17624,7.4,16728,17478,1328,12.3,105
에스토니아,2012,23.2,17534,3.1,16087,18092,1323,10,109.1
에스토니아,2013,25.3,19174,1.3,16316,18459,1319,8.6,112.1
에스토니아,2014,26.8,20367,3,16043,18296,1316,7.4,112
에스토니아,2015,23,17522,1.8,12836,14521,1315,6.2,111.5
에스토니아,2016,24.3,18437,3.2,13171,14959,1317,6.8,111.6
에스토니아,2017,26.9,20408,5.5,14558,16674,1319,5.8,115.5
에스토니아,2018,30.6,23159,4.4,17017,19140,1323,5.4,119.4
에스토니아,2019,31.5,23718,5,16112,18022,1326,4.5,122.1
에스토니아,2020,31,23312,-2.9,16375,17335,1327,6.8,121.6
핀란드,1995,134.2,26272,4.2,39573,28114,5119,17,80
핀란드,1996,132.1,25783,3.7,38435,29264,5137,15.6,80.5
핀란드,1997,126.9,24692,6.3,39316,29784,5152,15,81.4
핀란드,1998,134,26009,5.5,42104,31364,5164,13.2,82.6
핀란드,1999,135.2,26177,4.4,41842,31618,5176,11.7,83.5
핀란드,2000,125.7,24285,5.8,45482,33900,5188,11.1,86.1
핀란드,2001,129.4,24946,2.6,42831,32156,5200,10.3,88.3
핀란드,2002,139.7,26870,1.7,44702,33661,5213,10.4,89.7
핀란드,2003,171.3,32855,2,52516,41602,5227,10.5,90.5
핀란드,2004,197.1,37703,4,60920,50679,5242,10.4,90.6
핀란드,2005,204.8,39040,2.8,65193,58435,5259,8.4,91.2
핀란드,2006,216.9,41188,4,77289,69449,5277,7.7,92.6
핀란드,2007,256.1,48415,5.3,90092,81756,5298,6.9,95
핀란드,2008,284.6,53554,0.8,96839,92108,5319,6.4,98.8
핀란드,2009,252.5,47294,-8.1,62892,60887,5342,8.3,98.8
핀란드,2010,249.2,46460,3.2,69489,68769,5366,8.4,100
핀란드,2011,275.2,51082,2.5,79144,84252,5390,7.8,103.4
핀란드,2012,258.3,47711,-1.4,73116,76560,5415,7.7,106.3
핀란드,2013,271.3,49878,-0.9,74445,77589,5439,8.2,107.9
핀란드,2014,274.5,50260,-0.4,74335,76767,5461,8.7,109
핀란드,2015,234.4,42785,0.5,59740,60437,5481,9.4,108.8
핀란드,2016,240.6,43784,2.8,57419,60848,5498,8.8,109.2
핀란드,2017,255,46297,3.2,67478,70596,5511,8.6,110
핀란드,2018,275.8,50013,1.3,75215,78635,5523,7.4,111.2
핀란드,2019,269,48712,1.3,72839,73718,5532,6.7,112.3
핀란드,2020,271.2,49041,-2.8,65668,68085,5541,7.8,112.7
프랑스,1995,1601.1,26890,2.1,286738,275275,57802,11.8,79.5
프랑스,1996,1605.7,26872,1.4,287667,277673,58012,12.4,81
프랑스,1997,1452.9,24229,2.3,289736,269642,58221,12.6,82
프랑스,1998,1503.1,24974,3.6,305641,288389,58444,12.1,82.6
프랑스,1999,1492.6,24673,3.4,299666,294187,58704,12,83
프랑스,2000,1362.2,22364,3.9,298737,311022,59015,10.2,84.4
프랑스,2001,1376.5,22434,2,299339,307640,59384,8.6,85.8
프랑스,2002,1494.3,24177,1.1,312585,317448,59803,8.7,87.4
프랑스,2003,1840.5,29568,0.8,368888,377051,60252,8.3,89.3
프랑스,2004,2115.7,33741,2.8,418369,443662,60698,8.9,91.2
프랑스,2005,2196.1,34760,1.7,441919,488868,61120,8.5,92.8
프랑스,2006,2318.6,36444,2.4,491289,547224,61509,8.5,94.3
프랑스,2007,2657.2,41508,2.4,553420,633577,61869,7.7,95.7
프랑스,2008,2918.4,45334,0.3,611190,717300,62209,7.1,98.4
프랑스,2009,2690.2,41575,-2.9,476811,560652,62543,8.7,98.5
프랑스,2010,2642.6,40638,1.9,514453,606624,62880,8.9,100
프랑스,2011,2861.4,43791,2.2,585584,713863,63222,8.8,102.1
프랑스,2012,2683.8,40875,0.3,559330,668453,63564,9.4,104.1
프랑스,2013,2811.1,42593,0.6,570929,676639,63894,9.9,105
프랑스,2014,2852.2,43011,1,571322,670282,64194,10.3,105.5
프랑스,2015,2438.2,36638,1.1,496183,563561,64453,10.4,105.6
프랑스,2016,2471.3,37037,1.1,488931,559214,64668,10.1,105.8
프랑스,2017,2588.7,38685,2.3,525890,612136,64843,9.4,106.9
프랑스,2018,2786.5,41526,1.8,570735,667876,64991,9,108.8
프랑스,2019,2715.5,40380,1.5,559150,647361,65130,8.4,110
프랑스,2020,2603,38625,-8.1,478333,572028,65274,8,110.6
독일,1995,2585.8,31658,1.5,523802,464271,81139,8.2,80.5
독일,1996,2497.2,30486,0.8,524198,458783,81324,8.8,81.6
독일,1997,2212,26964,1.8,512427,445616,81399,9.9,83.2
독일,1998,2239,27289,2,543397,471418,81403,9.8,84
독일,1999,2194.2,26726,1.9,542890,473557,81390,8.9,84.5
독일,2000,1943.1,23636,2.9,550236,495463,81401,7.9,85.7
독일,2001,1944.1,23608,1.7,571479,486073,81454,7.8,87.4
독일,2002,2068.6,25078,-0.2,616014,490486,81535,8.5,88.6
독일,2003,2496.1,30244,-0.7,751792,604715,81614,9.8,89.6
독일,2004,2809.2,34044,1.2,909456,715863,81646,10.7,91
독일,2005,2845.8,34507,0.7,969983,775620,81603,11.2,92.5
독일,2006,2992.2,36323,3.8,1108901,907453,81472,10.3,93.9
독일,2007,3421.2,41587,3,1322195,1055854,81278,8.7,96.1
독일,2008,3730,45427,1,1449275,1185764,81066,7.5,98.6
독일,2009,3397.8,41486,-5.7,1120615,925805,80900,7.7,98.9
독일,2010,3396.4,41532,4.2,1258391,1054196,80827,7,100
독일,2011,3744.4,46645,3.9,1474040,1255007,80856,5.8,102.1
독일,2012,3527.3,43858,0.4,1401668,1155552,80973,5.4,104.1
독일,2013,3732.7,46286,0.4,1444913,1181116,81174,5.2,105.7
독일,2014,3883.9,47960,2.2,1494234,1207209,81450,5,106.7
독일,2015,3356.2,41087,1.5,1326206,1051132,81787,4.6,107.2
독일,2016,3467.5,42108,2.2,1334343,1055316,82194,4.1,107.7
독일,2017,3673.5,44443,2.6,1448178,1162898,82658,3.8,109.4
독일,2018,3961.8,47787,1.3,1560537,1284352,83124,3.4,111.2
독일,2019,3861.1,46468,0.6,1489430,1233994,83517,3.1,112.9
독일,2020,3806.1,45724,-4.9,1380378,1170726,83784,3.8,113.4
그리스,1995,136.9,12959,2.1,11025,25931,10746,9.1,57
그리스,1996,145.9,13749,2.9,11923,28559,10832,9.7,61.7
그리스,1997,143.2,13428,4.5,5373,23644,10906,9.6,65.1
그리스,1998,144.4,13472,3.9,5566,23247,10970,10.8,68.2
그리스,1999,142.5,13245,3.1,10475,28013,11028,11.9,70
그리스,2000,130.1,12043,3.9,190229,179199,11082,11.3,72.2
그리스,2001,136.2,12538,4.1,88068,95299,11134,10.5,74.6
그리스,2002,153.8,14110,3.9,10332,31316,11182,10,77.3
그리스,2003,201.9,18478,5.8,13476,44228,11219,9.4,80.1
그리스,2004,240.5,21955,5.1,16642,56125,11235,10.3,82.4
그리스,2005,247.8,22552,0.6,18436,57728,11225,10,85.3
그리스,2006,273.3,24801,5.7,21532,67297,11185,9,88
그리스,2007,318.5,28827,3.3,26552,84851,11120,8.4,90.6
그리스,2008,354.5,31997,-0.3,31281,96615,11040,7.8,94.4
그리스,2009,330,29711,-4.3,25148,74069,10959,9.6,95.5
그리스,2010,296.8,26691,-5.5,28017,65906,10888,12.7,100
그리스,2011,282.6,25451,-10.1,33780,66705,10829,17.9,103.3
그리스,2012,242.1,21915,-7.1,35324,61686,10781,24.4,104.9
그리스,2013,238.5,21749,-2.7,36140,60859,10741,27.5,103.9
그리스,2014,235.3,21602,0.7,35961,61984,10701,26.5,102.6
그리스,2015,195.3,18050,-0.4,28554,46786,10660,24.9,100.8
그리스,2016,192.7,17885,-0.5,28151,46810,10615,23.5,99.9
그리스,2017,199.6,18562,1.3,32629,53496,10569,21.5,101.1
그리스,2018,212.1,19766,1.6,39501,63877,10522,19.3,101.7
그리스,2019,205.3,19151,1.9,37911,62520,10473,17.3,101.9
그리스,2020,189.4,17676,-8.2,35170,55695,10423,16.3,100.7
헝가리,1995,46.4,4495,1.5,12802,15377,10349,10.2,28.7
헝가리,1996,46.7,4525,0.1,15630,18058,10332,10,35.5
헝가리,1997,47.3,4596,3.1,18990,21115,10308,9,42
헝가리,1998,48.7,4744,3.9,22991,25678,10280,8.9,47.9
헝가리,1999,49.1,4793,3.1,24950,27923,10249,6.9,52.7
헝가리,2000,47.2,4624,4.5,28006,31958,10221,6.6,57.9
헝가리,2001,53.7,5276,4.1,30533,33728,10193,5.7,63.2
헝가리,2002,67.6,6655,4.7,34508,37787,10167,5.6,66.5
헝가리,2003,85.3,8421,4.1,43060,47750,10141,5.8,69.6
헝가리,2004,104,10286,4.8,54893,59633,10114,5.8,74.3
헝가리,2005,113,11201,4.2,61767,65293,10086,7.2,76.9
헝가리,2006,115.6,11476,4,73500,75960,10056,7.5,79.9
헝가리,2007,140,13919,0.2,93980,94390,10024,7.4,86.3
헝가리,2008,158.1,15753,1.1,108212,108689,9992,7.8,91.5
헝가리,2009,130.8,13046,-6.7,82658,77367,9959,10,95.4
헝가리,2010,131.9,13192,1.1,94768,87452,9927,11.2,100
헝가리,2011,141.8,14216,1.9,111297,101423,9896,11,103.9
헝가리,2012,128.5,12951,-1.4,102879,94325,9864,11,109.8
헝가리,2013,135.4,13688,1.9,107858,99124,9834,10.2,111.7
헝가리,2014,140.8,14267,4.2,112204,103863,9805,7.7,111.5
헝가리,2015,125.1,12707,3.8,100287,90751,9778,6.8,111.4
헝가리,2016,128.5,13091,2.1,102981,92181,9753,5.1,111.8
헝가리,2017,143,14606,4.3,113675,104581,9730,4.2,114.5
헝가리,2018,160.4,16411,5.4,123815,117217,9708,3.7,117.7
헝가리,2019,163.5,16733,4.6,122059,116516,9685,3.4,121.6
헝가리,2020,155,15899,-5,119412,110442,9660,4.3,125.7
아이슬란드,1995,7.1,26634,-,1804,1759,268,5.2,47.6
아이슬란드,1996,7.4,27615,4.6,1890,2044,270,3.6,48.7
아이슬란드,1997,7.6,27919,5.8,1852,2020,273,3.7,49.6
아이슬란드,1998,8.5,31030,7.4,1927,2482,275,3.1,50.4
아이슬란드,1999,9,32382,4,2002,2517,278,2.2,52.1
아이슬란드,2000,9,32096,5,1896,2575,280,1.9,54.7
아이슬란드,2001,8.2,28897,4,2013,2274,283,1.9,58.2
아이슬란드,2002,9.3,32409,0.6,2231,2276,285,3,61.3
아이슬란드,2003,11.4,39477,2.1,2381,2828,288,4,62.5
아이슬란드,2004,13.8,47335,7.8,2889,3715,291,4,64.5
아이슬란드,2005,16.9,56795,6.1,3092,4989,295,2.6,67.1
아이슬란드,2006,17.5,57493,6.3,3465,6160,300,2.8,71.6
아이슬란드,2007,21.7,69496,8.5,4243,6376,305,2.3,75.2
아이슬란드,2008,18.1,56943,2.2,5376,6107,311,3,84.7
아이슬란드,2009,13.2,41301,-7.7,4056,3603,316,7.2,94.9
아이슬란드,2010,13.8,43237,-2.8,4606,3919,320,7.6,100
아이슬란드,2011,15.2,47715,1.8,5344,4837,323,7,104
아이슬란드,2012,14.8,45996,1.1,5063,4771,326,6,109.4
아이슬란드,2013,16.1,49805,4.6,5001,5020,327,5.4,113.6
아이슬란드,2014,17.9,54577,1.7,5091,5379,329,4.9,116
아이슬란드,2015,17.5,52952,4.4,4768,5310,330,4,117.8
아이슬란드,2016,20.8,61988,6.3,4490,5696,332,3,119.8
아이슬란드,2017,24.7,72010,4.2,4904,6972,334,2.7,122
아이슬란드,2018,26.2,74348,4.7,5612,7688,337,2.7,125.2
아이슬란드,2019,24.8,68883,2.6,5238,6616,339,3.5,129
아이슬란드,2020,21.7,59261,-6.6,4594,5707,341,5.5,132.7
아일랜드,1995,69.2,19161,9.6,44250,32638,3592,12,69
아일랜드,1996,75.8,20835,7.4,48671,35871,3620,11.7,70.2
아일랜드,1997,82.8,22541,11,53340,39349,3651,10.2,71.3
아일랜드,1998,90.1,24274,8.7,64230,44634,3688,7.7,73
아일랜드,1999,98.7,26295,10.5,71222,47196,3731,5.8,74.2
아일랜드,2000,99.9,26246,9.4,77038,50893,3783,4.3,78.4
아일랜드,2001,109.2,28240,5.3,82806,50594,3842,3.7,82.2
아일랜드,2002,127.9,32540,5.9,87923,52082,3908,4.2,86
아일랜드,2003,164.3,41101,3,92830,53865,3980,4.5,89
아일랜드,2004,193.9,47645,6.8,104748,61851,4058,4.5,90.9
아일랜드,2005,211.7,50891,5.7,109617,68531,4141,4.3,93.1
아일랜드,2006,232,54283,5,108771,73143,4231,4.4,96.8
아일랜드,2007,269.8,61337,5.3,121502,83906,4325,5,101.5
아일랜드,2008,274.8,61213,-4.4,125635,84131,4416,6.8,105.7
아일랜드,2009,235.9,52009,-5.1,115571,62494,4495,12.6,100.9
아일랜드,2010,222.1,48698,1.8,117565,63253,4554,14.5,100
아일랜드,2011,237.6,51887,0.6,127476,73013,4591,15.4,102.6
아일랜드,2012,225,48915,0.1,118794,70576,4608,15.5,104.3
아일랜드,2013,238.5,51577,1.2,116731,73445,4615,13.7,104.8
아일랜드,2014,258.9,55587,8.6,121059,82017,4627,11.9,105
아일랜드,2015,291.5,62000,25.2,123361,76977,4652,9.9,104.7
아일랜드,2016,299.6,62994,2,130863,81185,4696,8.4,104.7
아일랜드,2017,338.5,70413,9.1,137358,93197,4753,6.7,105.1
아일랜드,2018,386,79298,8.5,164794,107669,4819,5.7,105.6
아일랜드,2019,398.6,80779,5.6,169585,100758,4882,5,106.6
아일랜드,2020,418.6,83813,3.4,178734,97969,4938,5.6,106.2
이탈리아,1995,1174.7,20665,2.9,233998,206040,57174,11.7,71.6
이탈리아,1996,1312.4,23082,1.3,252039,208092,57065,11.9,74.4
이탈리아,1997,1241.9,21829,1.8,240404,210268,56904,12,75.9
이탈리아,1998,1270.1,22318,1.8,245700,218445,56743,12.1,77.4
이탈리아,1999,1252,21998,1.6,235079,220201,56656,11.7,78.7
이탈리아,2000,1143.8,20088,3.8,240262,239024,56692,10.8,80.7
이탈리아,2001,1167,20483,2,244345,235712,56875,9.6,83
이탈리아,2002,1270.7,22270,0.3,254611,246459,57183,9.2,85
이탈리아,2003,1574.1,27466,0.1,297046,295006,57565,8.9,87.3
이탈리아,2004,1803.2,31260,1.4,354255,355876,57948,7.9,89.2
이탈리아,2005,1857.5,32043,0.8,373635,385286,58281,7.7,91
이탈리아,2006,1947.9,33502,1.8,420342,446115,58543,6.8,92.9
이탈리아,2007,2210.3,37823,1.5,499946,512772,58748,6.1,94.6
이탈리아,2008,2398.9,40778,-1,542113,561127,58922,6.7,97.7
이탈리아,2009,2191.2,37080,-5.3,405070,413905,59106,7.8,98.5
이탈리아,2010,2134,36001,1.7,443973,485063,59325,8.4,100
이탈리아,2011,2292,38599,0.7,525077,561063,59589,8.4,102.8
이탈리아,2012,2087.1,35054,-3,502407,490647,59879,10.7,105.9
이탈리아,2013,2141.3,35550,-1.8,520551,480928,60167,12.2,107.2
이탈리아,2014,2159.1,35518,0,530320,474252,60410,12.7,107.5
이탈리아,2015,1835.9,30230,0.8,456084,410091,60578,11.9,107.5
이탈리아,2016,1875.8,30940,1.3,462388,408241,60663,11.7,107.4
이탈리아,2017,1957,32327,1.7,511753,457388,60674,11.2,108.7
이탈리아,2018,2091.1,34609,0.9,550269,503929,60627,10.6,110
이탈리아,2019,2004.9,33567,0.3,539708,475979,60550,10,110.6
이탈리아,2020,1886.4,31676,-8.9,495092,421828,60462,9.2,110.5
라트비아,1995,5.8,2328,-,1283,1810,2508,-,42.2
라트비아,1996,6,2429,2.6,1424,2311,2479,20.9,49.6
라트비아,1997,6.5,2681,8.9,1664,2718,2453,14.9,53.8
라트비아,1998,7.2,2971,6.3,1801,3189,2431,14.5,56.3
라트비아,1999,7.5,3148,2.7,1723,2945,2408,13.8,57.6
라트비아,2000,7.9,3358,5.7,1865,3183,2384,14.2,59.2
라트비아,2001,8.4,3573,6.3,2001,3504,2359,13.8,60.6
라트비아,2002,9.5,4132,7.1,2284,4053,2333,13.8,61.8
라트비아,2003,11.7,5135,8.4,2893,5242,2306,12.1,63.6
라트비아,2004,14.4,6364,8.5,3982,7048,2279,11.7,67.6
라트비아,2005,17,7575,10.7,5108,8592,2252,10,72.1
라트비아,2006,21.5,9700,12,5893,11431,2225,7,76.9
라트비아,2007,31,14091,10,7892,15182,2198,6.1,84.6
라트비아,2008,35.8,16422,-3.3,9278,15775,2171,7.7,97.6
라트비아,2009,26.3,12288,-14.3,7174,9346,2145,17.5,101.1
라트비아,2010,23.9,11380,-4.4,8851,11143,2119,19.5,100
라트비아,2011,28.4,13776,6.5,11995,15441,2094,16.2,104.4
라트비아,2012,28.3,13923,4.3,12683,16078,2069,15.1,106.7
라트비아,2013,30.4,15123,2.3,13317,16781,2045,11.9,106.7
라트비아,2014,31.3,15714,1.1,13777,17129,2021,10.9,107.4
라트비아,2015,27.2,13775,4,11649,14093,1998,9.9,107.5
라트비아,2016,28.1,14316,2.4,11607,13737,1974,9.6,107.7
라트비아,2017,30.4,15643,3.3,13190,16056,1951,8.7,110.9
라트비아,2018,34.4,17850,4,15070,18616,1928,7.4,113.7
라트비아,2019,34.1,17794,2,14510,17809,1907,6.3,116.9
라트비아,2020,33.5,17620,-3.6,15101,17264,1886,8.1,117.1
리투아니아,1995,7.9,2168,-,2705,3649,3627,17.5,51.3
리투아니아,1996,8.4,2327,5.2,3335,4468,3604,16.4,63.9
리투아니아,1997,10.1,2830,8.3,3860,5644,3580,14.1,69.6
리투아니아,1998,11.2,3167,7.5,3688,5765,3555,13.7,73.1
리투아니아,1999,11,3113,-1.1,3036,4874,3529,13.4,73.7
리투아니아,2000,11.5,3293,3.7,3548,5219,3502,15.9,74.4
리투아니아,2001,12.2,3526,6.5,4279,6060,3474,16.8,75.4
리투아니아,2002,14.3,4142,6.8,5232,7526,3445,13,75.6
리투아니아,2003,18.8,5499,10.6,6970,9669,3414,12.9,74.8
리투아니아,2004,22.6,6700,6.6,9307,12386,3381,10.7,75.6
리투아니아,2005,26.1,7855,7.7,11782,15511,3344,8.3,77.7
리투아니아,2006,30.2,9231,7.4,14153,19413,3303,5.8,80.6
리투아니아,2007,39.7,12285,11.1,17163,24445,3259,4.3,85.2
리투아니아,2008,47.8,14945,2.6,23770,31294,3213,5.8,94.5
리투아니아,2009,37.4,11821,-14.8,16497,18341,3167,13.8,98.7
리투아니아,2010,37.1,11988,1.7,20726,23385,3124,17.8,100
리투아니아,2011,43.5,14377,6,28078,31810,3083,15.4,104.1
리투아니아,2012,42.9,14368,3.8,29625,31988,3046,13.4,107.3
리투아니아,2013,46.5,15730,3.6,32604,34814,3009,11.8,108.5
리투아니아,2014,48.5,16551,3.5,32346,34389,2971,10.7,108.6
리투아니아,2015,41.4,14258,2,25392,28154,2932,9.1,107.6
리투아니아,2016,43,14998,2.5,25009,27333,2890,7.9,108.6
리투아니아,2017,47.6,16844,4.3,29900,32258,2845,7.1,112.6
리투아니아,2018,53.7,19167,3.9,33337,36502,2801,6.2,115.7
리투아니아,2019,54.6,19555,4.3,33152,35760,2760,6.3,118.4
리투아니아,2020,55.9,19998,-0.9,32768,33141,2722,8.5,119.8
룩셈부르크,1995,21.6,52831,1.4,7815,9938,408,2.9,74.2
룩셈부르크,1996,21.8,52572,1.4,7210,9515,414,3.3,75.1
룩셈부르크,1997,19.7,47042,5.7,6971,9323,420,2.5,76.1
룩셈부르크,1998,20.2,47584,6,7919,10165,426,2.8,76.8
룩셈부르크,1999,22.2,51654,8.5,7769,10963,431,2.4,77.6
룩셈부르크,2000,21.3,48736,8.2,7833,10707,436,2.4,80.1
룩셈부르크,2001,21.3,48179,2.5,8202,11255,440,1.8,82.2
룩셈부르크,2002,23.6,52931,3.8,8503,11610,444,2.6,83.9
룩셈부르크,2003,29.6,65446,1.6,9981,13695,447,3.7,85.6
룩셈부르크,2004,34.7,75716,3.6,12168,17011,452,5.1,87.5
룩셈부르크,2005,37.3,80290,3.2,19068,22506,458,4.5,89.7
