국가별,시점,무역의존도_수출,무역의존도_수입
아시아,2001,,
아시아,2002,,
아시아,2003,,
아시아,2004,,
아시아,2005,,
아시아,2006,,
아시아,2007,,
아시아,2008,,
아시아,2009,,
아시아,2010,,
아시아,2011,,
아시아,2012,,
아시아,2013,,
아시아,2014,,
아시아,2015,,
아시아,2016,,
아시아,2017,,
아시아,2018,,
아시아,2019,,
아시아,2020,,
한국,2001,27.47,25.76
한국,2002,25.91,24.26
한국,2003,27.59,25.45
한국,2004,31.99,28.28
한국,2005,30.43,27.95
한국,2006,30.93,29.4
한국,2007,31.68,30.43
한국,2008,40.31,41.58
한국,2009,38.5,34.21
한국,2010,40.77,37.17
한국,2011,44.3,41.84
한국,2012,42.87,40.66
한국,2013,40.83,37.62
한국,2014,38.59,35.41
한국,2015,35.95,29.79
한국,2016,33.03,27.08
한국,2017,35.34,29.48
한국,2018,35.06,31.02
한국,2019,32.84,30.49
한국,2020,31.28,28.55
이스라엘,2001,19.62,24.95
이스라엘,2002,21.11,26.81
이스라엘,2003,21.89,26.43
이스라엘,2004,24.91,29.73
이스라엘,2005,25.66,31.16
이스라엘,2006,25.76,30.7
이스라엘,2007,25.65,31.34
이스라엘,2008,23.7,29.8
이스라엘,2009,20.24,22.58
이스라엘,2010,21.69,25.03
이스라엘,2011,22.25,27.84
이스라엘,2012,20.96,28.06
이스라엘,2013,19.42,24.28
이스라엘,2014,18.6,23.05
이스라엘,2015,17.84,20.44
이스라엘,2016,16.38,20.42
이스라엘,2017,15.05,19.28
이스라엘,2018,14.63,20.45
이스라엘,2019,13.15,19.18
이스라엘,2020,12.28,17.37
일본,2001,9.37,8.11
일본,2002,10.13,8.2
일본,2003,10.61,8.62
일본,2004,11.75,9.45
일본,2005,12.51,10.85
일본,2006,14.28,12.78
일본,2007,15.82,13.78
일본,2008,15.52,15.14
일본,2009,11.1,10.55
일본,2010,13.5,12.18
일본,2011,13.36,13.89
일본,2012,12.87,14.28
일본,2013,13.86,16.14
일본,2014,14.23,16.75
일본,2015,14.23,14.76
일본,2016,13.1,12.34
일본,2017,14.34,13.81
일본,2018,14.9,15.11
일본,2019,13.93,14.24
터키,2001,15.53,20.55
터키,2002,14.97,21.46
터키,2003,14.98,22.08
터키,2004,15.46,23.91
터키,2005,14.56,23.13
터키,2006,15.44,25.17
터키,2007,15.8,25.07
터키,2008,17.19,26.2
터키,2009,15.78,21.75
터키,2010,14.67,23.88
터키,2011,16.13,28.74
터키,2012,17.36,26.95
터키,2013,16.88,27.21
터키,2014,17.75,26.72
터키,2015,17.49,24.68
터키,2016,17.18,23.24
터키,2017,19.17,27.78
터키,2018,22.78,29.61
터키,2019,23.77,27.61
터키,2020,23.58,30.52
북아메리카,2001,,
북아메리카,2002,,
북아메리카,2003,,
북아메리카,2004,,
북아메리카,2005,,
북아메리카,2006,,
북아메리카,2007,,
북아메리카,2008,,
북아메리카,2009,,
북아메리카,2010,,
북아메리카,2011,,
북아메리카,2012,,
북아메리카,2013,,
북아메리카,2014,,
북아메리카,2015,,
북아메리카,2016,,
북아메리카,2017,,
북아메리카,2018,,
북아메리카,2019,,
북아메리카,2020,,
캐나다,2001,36.65,30.56
캐나다,2002,34.51,29.84
캐나다,2003,31.7,27.32
캐나다,2004,32.01,27.21
캐나다,2005,31.6,27.29
캐나다,2006,30.2,27.04
캐나다,2007,29.32,26.45
캐나다,2008,29.67,26.91
캐나다,2009,23.49,23.93
캐나다,2010,24.26,24.84
캐나다,2011,25.73,25.71
캐나다,2012,25.26,25.99
캐나다,2013,25.2,25.62
캐나다,2014,26.55,26.3
캐나다,2015,26.35,27.59
캐나다,2016,25.79,27.04
캐나다,2017,25.72,26.88
캐나다,2018,26.34,27.22
캐나다,2019,25.88,26.55
캐나다,2020,23.86,25.54
멕시코,2001,20.99,2.5
멕시코,2002,20.87,2.37
멕시코,2003,22.6,2.27
멕시코,2004,24.03,2.33
멕시코,2005,24.4,2.43
멕시코,2006,25.63,2.52
멕시코,2007,25.83,2.57
멕시코,2008,26.29,2.65
멕시코,2009,25.5,2.03
멕시코,2010,28.21,2.37
멕시코,2011,29.63,2.52
멕시코,2012,30.83,2.46
멕시코,2013,29.81,2.46
멕시코,2014,30.2,2.4
멕시코,2015,32.53,2.24
멕시코,2016,34.6,1.92
멕시코,2017,35.23,1.93
멕시코,2018,36.75,1.98
멕시코,2019,36.22,-
멕시코,2020,38.68,-
미국,2001,6.89,11.14
미국,2002,6.34,10.97
미국,2003,6.33,11.37
미국,2004,6.67,12.49
미국,2005,6.91,13.31
미국,2006,7.43,13.88
미국,2007,7.94,13.98
미국,2008,8.75,14.75
미국,2009,7.31,10.79
미국,2010,8.53,12.77
미국,2011,9.54,14.21
미국,2012,9.54,14.05
미국,2013,9.4,13.51
미국,2014,9.25,13.44
미국,2015,8.24,12.33
미국,2016,7.74,11.67
미국,2017,7.92,11.97
미국,2018,8.08,12.31
미국,2019,7.67,11.65
남아메리카,2001,,
남아메리카,2002,,
남아메리카,2003,,
남아메리카,2004,,
남아메리카,2005,,
남아메리카,2006,,
남아메리카,2007,,
남아메리카,2008,,
남아메리카,2009,,
남아메리카,2010,,
남아메리카,2011,,
남아메리카,2012,,
남아메리카,2013,,
남아메리카,2014,,
남아메리카,2015,,
남아메리카,2016,,
남아메리카,2017,,
남아메리카,2018,,
남아메리카,2019,,
남아메리카,2020,,
칠레,2001,25.74,-
칠레,2002,26.07,-
칠레,2003,28.62,-
칠레,2004,33.29,-
칠레,2005,34.13,-
칠레,2006,38.36,-
칠레,2007,39.49,-
칠레,2008,35.91,-
칠레,2009,32.17,-
칠레,2010,32.54,-
칠레,2011,32.28,-
칠레,2012,29.22,-
칠레,2013,27.58,-
칠레,2014,28.81,-
칠레,2015,25.43,-
칠레,2016,24.24,-
칠레,2017,24.84,-
칠레,2018,25.27,-
칠레,2019,25.02,-
칠레,2020,28.36,-
콜롬비아,2001,12.55,13.05
콜롬비아,2002,12.22,12.96
콜롬비아,2003,13.87,14.67
콜롬비아,2004,14.34,14.32
콜롬비아,2005,14.52,14.56
콜롬비아,2006,15.17,16.19
콜롬비아,2007,14.69,15.96
콜롬비아,2008,15.19,16.38
콜롬비아,2009,14.13,14.15
콜롬비아,2010,13.86,14.13
콜롬비아,2011,16.99,16.19
콜롬비아,2012,16.21,15.92
콜롬비아,2013,15.39,15.54
콜롬비아,2014,14.39,16.8
콜롬비아,2015,12.27,18.42
콜롬비아,2016,11.23,15.87
콜롬비아,2017,12.19,14.77
콜롬비아,2018,12.54,15.33
콜롬비아,2019,12.21,16.29
콜롬비아,2020,11.45,16.03
코스타리카,2001,31.67,41.13
코스타리카,2002,31.9,44.12
코스타리카,2003,35.69,45.78
코스타리카,2004,34.61,44.56
코스타리카,2005,35.68,48.11
코스타리카,2006,37.21,56.09
코스타리카,2007,35.59,52.43
코스타리카,2008,31.19,49.64
코스타리카,2009,28.74,37.58
코스타리카,2010,24.02,36.97
코스타리카,2011,23.91,42.71
코스타리카,2012,23.85,38.78
코스타리카,2013,22.53,35.58
코스타리카,2014,21.63,33.75
코스타리카,2015,16.69,28.83
코스타리카,2016,17.84,27.43
코스타리카,2017,18.03,27.75
코스타리카,2018,18.48,29.27
코스타리카,2019,18.55,27.48
코스타리카,2020,20.23,24.77
유럽,2001,,
유럽,2002,,
유럽,2003,,
유럽,2004,,
유럽,2005,,
유럽,2006,,
유럽,2007,,
유럽,2008,,
유럽,2009,,
유럽,2010,,
유럽,2011,,
유럽,2012,,
유럽,2013,,
유럽,2014,,
유럽,2015,,
유럽,2016,,
유럽,2017,,
유럽,2018,,
유럽,2019,,
유럽,2020,,
오스트리아,2001,35.87,37.85
오스트리아,2002,36.89,36.7
오스트리아,2003,37.16,38.07
오스트리아,2004,39.33,39.87
오스트리아,2005,39.56,40.24
오스트리아,2006,40.75,40.89
오스트리아,2007,42.15,42.01
오스트리아,2008,42.2,42.84
오스트리아,2009,34.25,35.75
오스트리아,2010,38.9,40.55
오스트리아,2011,41.17,44.41
오스트리아,2012,40.73,43.64
오스트리아,2013,40.72,42.61
오스트리아,2014,40.33,41.2
오스트리아,2015,40.01,40.88
오스트리아,2016,38.44,39.86
오스트리아,2017,40.38,42.24
오스트리아,2018,40.62,42.58
오스트리아,2019,40.14,41.51
오스트리아,2020,39.38,40.08
벨기에,2001,80.47,75.55
벨기에,2002,83.98,77.08
벨기에,2003,80.54,74.03
벨기에,2004,83.25,77.5
벨기에,2005,86.7,82.63
벨기에,2006,89.91,86.19
벨기에,2007,91.66,87.6
벨기에,2008,91.87,90.71
벨기에,2009,77.11,73.71
벨기에,2010,84.77,81.35
벨기에,2011,91.03,89.34
벨기에,2012,89.95,88.58
벨기에,2013,89.84,86.57
벨기에,2014,88.31,84.86
벨기에,2015,85.85,81.26
벨기에,2016,83.74,79.76
벨기에,2017,85.67,81.59
벨기에,2018,86.24,83.72
벨기에,2019,83.81,80.23
벨기에,2020,81.48,76.87
체코,2001,49.26,-
체코,2002,46.82,-
체코,2003,48.66,-
체코,2004,56.08,-
체코,2005,56.86,55.66
체코,2006,60.89,59.79
체코,2007,64.55,62.29
체코,2008,61.82,60.03
체코,2009,54.56,50.74
체코,2010,63.62,60.55
체코,2011,70.96,66.27
체코,2012,75.25,67.76
체코,2013,76.67,68.18
체코,2014,83.6,73.67
체코,2015,83.96,75.18
체코,2016,82.9,72.88
체코,2017,83.35,74.73
체코,2018,81.44,74.35
체코,2019,79.65,71.63
체코,2020,79.08,70.25
덴마크,2001,30.99,26.78
덴마크,2002,31.52,27.37
덴마크,2003,29.93,25.78
덴마크,2004,30.08,26.61
덴마크,2005,31.11,27.49
덴마크,2006,32.13,29.75
덴마크,2007,31.91,30.48
덴마크,2008,32.92,30.85
덴마크,2009,28.67,24.94
덴마크,2010,29.88,25.69
덴마크,2011,32.76,27.91
덴마크,2012,32.43,27.92
덴마크,2013,32.15,28.31
덴마크,2014,31.37,28.05
덴마크,2015,31.24,28.15
덴마크,2016,30.25,26.96
덴마크,2017,30.58,27.78
덴마크,2018,30.41,28.49
덴마크,2019,31.42,27.77
덴마크,2020,30.19,27.25
에스토니아,2001,52.94,68.69
에스토니아,2002,46.77,65.25
에스토니아,2003,45.95,65.61
에스토니아,2004,48.86,68.63
에스토니아,2005,54.6,72.44
에스토니아,2006,57.05,79.19
에스토니아,2007,49.09,69.89
에스토니아,2008,51.18,65.89
에스토니아,2009,45.91,51.4
에스토니아,2010,58.92,62.41
에스토니아,2011,71.5,74.71
에스토니아,2012,69.36,78.01
에스토니아,2013,64.56,73.04
에스토니아,2014,59.92,68.34
에스토니아,2015,55.69,63
에스토니아,2016,54.29,61.66
에스토니아,2017,54.15,62.02
에스토니아,2018,55.58,62.52
에스토니아,2019,51.19,57.26
에스토니아,2020,52.77,55.87
핀란드,2001,33.09,24.85
핀란드,2002,31.99,24.09
핀란드,2003,30.66,24.29
핀란드,2004,30.91,25.71
핀란드,2005,31.83,28.53
핀란드,2006,35.63,32.02
핀란드,2007,35.19,31.93
핀란드,2008,34.03,32.37
핀란드,2009,24.91,24.11
핀란드,2010,27.89,27.6
핀란드,2011,28.75,30.61
핀란드,2012,28.31,29.64
핀란드,2013,27.44,28.6
핀란드,2014,27.08,27.97
핀란드,2015,25.48,25.78
핀란드,2016,23.86,25.29
핀란드,2017,26.46,27.68
핀란드,2018,27.27,28.51
핀란드,2019,27.08,27.41
핀란드,2020,24.21,25.1
프랑스,2001,21.75,22.35
프랑스,2002,20.92,21.24
프랑스,2003,20.04,20.49
프랑스,2004,19.77,20.97
프랑스,2005,20.12,22.26
프랑스,2006,21.19,23.6
프랑스,2007,20.83,23.84
프랑스,2008,20.94,24.58
프랑스,2009,17.72,20.84
프랑스,2010,19.47,22.96
프랑스,2011,20.46,24.95
프랑스,2012,20.84,24.91
프랑스,2013,20.31,24.07
프랑스,2014,20.03,23.5
프랑스,2015,20.35,23.11
프랑스,2016,19.78,22.63
프랑스,2017,20.31,23.65
프랑스,2018,20.48,23.97
프랑스,2019,20.59,23.84
프랑스,2020,18.38,21.98
독일,2001,29.4,25
독일,2002,29.78,23.71
독일,2003,30.12,24.23
독일,2004,32.37,25.48
독일,2005,34.08,27.25
독일,2006,37.06,30.33
독일,2007,38.65,30.86
독일,2008,38.85,31.79
독일,2009,32.98,27.25
독일,2010,37.05,31.04
독일,2011,39.37,33.52
독일,2012,39.74,32.76
독일,2013,38.71,31.64
독일,2014,38.47,31.08
독일,2015,39.51,31.32
독일,2016,38.48,30.43
독일,2017,39.42,31.66
독일,2018,39.39,32.42
독일,2019,38.58,31.96
독일,2020,36.27,30.76
그리스,2001,64.67,69.97
그리스,2002,6.72,20.36
그리스,2003,6.67,21.9
그리스,2004,6.92,23.33
그리스,2005,7.44,23.3
그리스,2006,7.88,24.62
그리스,2007,8.34,26.64
그리스,2008,8.82,27.26
그리스,2009,7.62,22.45
그리스,2010,9.44,22.2
그리스,2011,11.95,23.6
그리스,2012,14.59,25.48
그리스,2013,15.15,25.52
그리스,2014,15.28,26.34
그리스,2015,14.62,23.95
그리스,2016,14.61,24.29
그리스,2017,16.34,26.8
그리스,2018,18.62,30.11
그리스,2019,18.46,30.45
그리스,2020,18.57,29.4
헝가리,2001,56.8,62.75
헝가리,2002,51.04,55.89
헝가리,2003,50.48,55.98
헝가리,2004,52.8,57.36
헝가리,2005,54.67,57.79
헝가리,2006,63.59,65.72
헝가리,2007,67.15,67.44
헝가리,2008,68.43,68.73
헝가리,2009,63.21,59.17
헝가리,2010,71.84,66.29
헝가리,2011,78.51,71.55
헝가리,2012,80.08,73.42
헝가리,2013,79.65,73.2
헝가리,2014,79.71,73.78
헝가리,2015,80.18,72.56
헝가리,2016,80.16,71.75
헝가리,2017,79.51,73.15
헝가리,2018,77.18,73.06
헝가리,2019,74.65,71.26
헝가리,2020,77.03,71.25
아이슬란드,2001,24.45,27.61
아이슬란드,2002,23.95,24.42
아이슬란드,2003,20.83,24.74
아이슬란드,2004,20.9,26.87
아이슬란드,2005,18.35,29.6
아이슬란드,2006,19.84,35.27
아이슬란드,2007,19.6,29.45
아이슬란드,2008,29.74,33.79
아이슬란드,2009,30.83,27.39
아이슬란드,2010,33.49,28.5
아이슬란드,2011,35.11,31.78
아이슬란드,2012,34.32,32.34
아이슬란드,2013,31.01,31.13
아이슬란드,2014,28.49,30.1
아이슬란드,2015,27.22,30.31
아이슬란드,2016,21.59,27.4
아이슬란드,2017,19.83,28.19
아이슬란드,2018,21.4,29.32
아이슬란드,2019,21.09,26.64
아이슬란드,2020,21.15,26.28
아일랜드,2001,75.84,46.34
아일랜드,2002,68.72,40.71
아일랜드,2003,56.51,32.79
아일랜드,2004,54.01,31.89
아일랜드,2005,51.78,32.37
아일랜드,2006,46.89,31.53
아일랜드,2007,45.03,31.1
아일랜드,2008,45.72,30.61
아일랜드,2009,49,26.49
아일랜드,2010,52.94,28.48
아일랜드,2011,53.64,30.72
아일랜드,2012,52.8,31.37
아일랜드,2013,48.95,30.8
아일랜드,2014,46.76,31.68
아일랜드,2015,42.32,26.41
아일랜드,2016,43.69,27.1
아일랜드,2017,40.58,27.53
아일랜드,2018,42.7,27.9
아일랜드,2019,42.55,25.28
아일랜드,2020,42.7,23.4
이탈리아,2001,20.94,20.2
이탈리아,2002,20.04,19.4
이탈리아,2003,18.87,18.74
이탈리아,2004,19.65,19.74
이탈리아,2005,20.11,20.74
이탈리아,2006,21.58,22.9
이탈리아,2007,22.62,23.2
이탈리아,2008,22.6,23.39
이탈리아,2009,18.49,18.89
이탈리아,2010,20.8,22.73
이탈리아,2011,22.91,24.48
이탈리아,2012,24.07,23.51
이탈리아,2013,24.31,22.46
이탈리아,2014,24.56,21.96
이탈리아,2015,24.84,22.34
이탈리아,2016,24.65,21.76
이탈리아,2017,26.15,23.37
이탈리아,2018,26.31,24.1
이탈리아,2019,26.92,23.74
이탈리아,2020,26.24,22.36
라트비아,2001,23.96,41.96
라트비아,2002,23.93,42.46
라트비아,2003,24.62,44.62
라트비아,2004,27.65,48.94
라트비아,2005,30.12,50.66
라트비아,2006,27.38,53.12
라트비아,2007,25.46,48.97
라트비아,2008,25.95,44.12
라트비아,2009,27.26,35.51
라트비아,2010,37.08,46.68
라트비아,2011,42.27,54.42
라트비아,2012,44.78,56.76
라트비아,2013,43.75,55.13
라트비아,2014,43.97,54.67
라트비아,2015,42.77,51.74
라트비아,2016,41.38,48.97
라트비아,2017,43.41,52.85
라트비아,2018,43.81,54.12
라트비아,2019,42.61,52.29
라트비아,2020,45.07,51.53
리투아니아,2001,34.97,49.52
리투아니아,2002,36.69,52.78
리투아니아,2003,37.11,51.48
리투아니아,2004,41.13,54.74
리투아니아,2005,45.15,59.43
리투아니아,2006,46.89,64.32
리투아니아,2007,43.23,61.58
리투아니아,2008,49.73,65.47
리투아니아,2009,44.12,49.06
리투아니아,2010,55.82,62.98
리투아니아,2011,64.49,73.07
리투아니아,2012,69.01,74.52
리투아니아,2013,70.08,74.83
리투아니아,2014,66.65,70.86
리투아니아,2015,61.31,67.97
리투아니아,2016,58.14,63.54
리투아니아,2017,62.76,67.71
리투아니아,2018,62.08,67.98
리투아니아,2019,60.67,65.45
리투아니아,2020,58.63,59.3
룩셈부르크,2001,38.56,52.91
룩셈부르크,2002,36.01,49.16
룩셈부르크,2003,33.77,46.33
룩셈부르크,2004,35.08,49.04
룩셈부르크,2005,51.06,60.26
룩셈부르크,2006,54.19,63.93
룩셈부르크,2007,45.1,55.12
룩셈부르크,2008,46,57.6
룩셈부르크,2009,41.5,49.21
룩셈부르크,2010,35.39,46.59
룩셈부르크,2011,34.75,48.09
룩셈부르크,2012,33.31,48.21
룩셈부르크,2013,29.87,43.2
룩셈부르크,2014,22.92,36.4
룩셈부르크,2015,22.42,33.89
룩셈부르크,2016,21.72,32.16
룩셈부르크,2017,22.31,33.46
룩셈부르크,2018,22.15,33.22
룩셈부르크,2019,20.86,32.29
룩셈부르크,2020,18.63,28.57
네덜란드,2001,50.13,45.35
네덜란드,2002,46.64,41.18
네덜란드,2003,45.76,40.43
네덜란드,2004,48.4,43.22
네덜란드,2005,51.03,45.31
네덜란드,2006,54.64,48.89
네덜란드,2007,55.77,49.69
네덜란드,2008,57.55,52.19
네덜란드,2009,49.75,44.05
네덜란드,2010,58.2,51.97
네덜란드,2011,63.01,56.18
네덜란드,2012,65.86,59.67
네덜란드,2013,65.59,58.51
네덜란드,2014,64.62,57.04
네덜란드,2015,60.72,53.93
네덜란드,2016,59.75,52.08
네덜란드,2017,63.47,55.53
네덜란드,2018,64.35,57.03
네덜란드,2019,63.59,56.76
네덜란드,2020,60.43,53.14
노르웨이,2001,34.04,18.94
노르웨이,2002,30.51,17.84
노르웨이,2003,29.85,17.5
노르웨이,2004,31.2,18.35
노르웨이,2005,33.59,17.96
노르웨이,2006,35.34,18.6
노르웨이,2007,34.01,20.05
노르웨이,2008,37.16,19.53
노르웨이,2009,30.24,17.86
노르웨이,2010,30.48,18.03
노르웨이,2011,32.17,18.22
노르웨이,2012,31.59,17.14
노르웨이,2013,29.85,17.18
노르웨이,2014,29.03,17.95
노르웨이,2015,26.91,19.8
노르웨이,2016,24.27,20.34
노르웨이,2017,26.22,20.8
노르웨이,2018,28.15,20.01
노르웨이,2019,25.65,21.25
노르웨이,2020,22.86,22.47
폴란드,2001,18.94,26.39
폴란드,2002,20.61,27.7
폴란드,2003,24.65,31.29
폴란드,2004,29.33,35.03
폴란드,2005,29.15,33.12
폴란드,2006,32.19,36.93
폴란드,2007,32.71,38.7
폴란드,2008,32.05,39.23
폴란드,2009,31.11,34.05
폴란드,2010,33.31,37.13
폴란드,2011,35.75,39.91
폴란드,2012,37.2,39.97
폴란드,2013,39.36,39.86
폴란드,2014,40.57,41.21
폴란드,2015,41.69,41.14
폴란드,2016,43.15,42.24
폴란드,2017,44.49,44.39
폴란드,2018,44.86,45.77
폴란드,2019,44.74,44.52
폴란드,2020,45.6,43.26
포르투갈,2001,20.52,34.29
포르투갈,2002,20.05,31.77
포르투갈,2003,20.08,30.53
포르투갈,2004,20.34,32.42
포르투갈,2005,19.64,32.4
포르투갈,2006,21.47,33.9
포르투갈,2007,21.85,34.26
포르투갈,2008,21.87,36.09
포르투갈,2009,18.16,29.45
포르투갈,2010,20.77,32.66
포르투갈,2011,24.36,33.88
포르투갈,2012,26.88,33.52
포르투갈,2013,27.74,33.45
포르투갈,2014,27.8,34.14
포르투갈,2015,27.62,33.57
포르투갈,2016,26.83,32.84
포르투갈,2017,28.14,35.67
포르투갈,2018,28.23,36.77
포르투갈,2019,28,37.38
포르투갈,2020,26.6,33.52
슬로바키아,2001,41.11,-
슬로바키아,2002,41.21,-
슬로바키아,2003,46.92,-
슬로바키아,2004,50.96,48.22
슬로바키아,2005,54.52,50.73
슬로바키아,2006,62.98,58.99
슬로바키아,2007,68.26,67.15
슬로바키아,2008,70.97,69.93
슬로바키아,2009,60.87,62.41
슬로바키아,2010,71.12,72.31
슬로바키아,2011,77.88,79.68
슬로바키아,2012,79.16,84.59
슬로바키아,2013,80.06,86.19
슬로바키아,2014,78.45,84.76
슬로바키아,2015,80.77,84.74
슬로바키아,2016,81.7,85.89
슬로바키아,2017,84.04,87.69
슬로바키아,2018,85.97,88.58
슬로바키아,2019,84.41,85.55
슬로바키아,2020,79.63,82.69
슬로베니아,2001,49.56,54.34
슬로베니아,2002,46.67,49.27
슬로베니아,2003,38.08,41.3
슬로베니아,2004,37.14,41.1
슬로베니아,2005,39.76,43.65
슬로베니아,2006,43.07,46.49
슬로베니아,2007,40.89,44.83
슬로베니아,2008,36.08,41.47
슬로베니아,2009,44.96,75.77
슬로베니아,2010,51.32,55.37
슬로베니아,2011,56.76,60.94
슬로베니아,2012,58.14,60.95
슬로베니아,2013,59.15,60.7
슬로베니아,2014,61.13,60.19
슬로베니아,2015,61.7,60.05
슬로베니아,2016,61.82,59.67
슬로베니아,2017,65.81,64.28
슬로베니아,2018,67.4,67.01
슬로베니아,2019,69.3,69.36
슬로베니아,2020,64.86,62.34
스페인,2001,18.36,24.49
스페인,2002,17.53,23.2
스페인,2003,17.23,23.03
스페인,2004,17.07,24.15
스페인,2005,16.55,24.92
스페인,2006,16.94,25.89
스페인,2007,16.91,26.18
스페인,2008,17.04,25.62
스페인,2009,14.84,19.54
스페인,2010,17.33,22.21
스페인,2011,20.19,24.54
스페인,2012,21.6,24.6
스페인,2013,23,24.65
스페인,2014,23.65,26.23
스페인,2015,23.62,26.15
스페인,2016,23.31,25.21
스페인,2017,24.4,26.81
스페인,2018,24.29,27.35
스페인,2019,23.89,26.73
스페인,2020,23.94,25.38
스웨덴,2001,32.46,26.56
스웨덴,2002,31.19,25.37
스웨덴,2003,30.61,25.23
스웨덴,2004,31.83,26.21
스웨덴,2005,33.42,28.32
스웨덴,2006,34.73,30.26
스웨덴,2007,34.52,31.36
스웨덴,2008,35.5,32.52
스웨덴,2009,29.83,27.4
스웨덴,2010,31.74,30.14
스웨덴,2011,32.81,30.78
스웨덴,2012,31.34,29.78
스웨덴,2013,28.57,27.45
스웨덴,2014,28.31,27.83
스웨덴,2015,27.73,27.32
스웨덴,2016,26.93,27.15
스웨덴,2017,28.27,28.44
스웨덴,2018,30.02,30.5
스웨덴,2019,30.32,29.9
스웨덴,2020,28.7,27.7
스위스,2001,28.58,29.28
스위스,2002,29.66,28.16
스위스,2003,28.91,27.64
스위스,2004,30.33,28.6
스위스,2005,31.13,30.09
스위스,2006,33.31,31.87
스위스,2007,34.86,32.67
스위스,2008,35.13,32.12
스위스,2009,30.97,27.89
스위스,2010,32.4,29.22
스위스,2011,32.53,28.85
스위스,2012,45.15,42.76
스위스,2013,50.21,45.11
스위스,2014,42.38,37.55
스위스,2015,41.28,36.05
스위스,2016,43.54,38.83
스위스,2017,42.52,38.3
스위스,2018,42.24,37.99
스위스,2019,42.92,37.98
스위스,2020,42.68,39
영국,2001,16.53,19.83
영국,2002,15.64,18.99
영국,2003,14.87,18.61
영국,2004,14.32,18.93
영국,2005,15.04,19.31
영국,2006,16.66,20.71
영국,2007,14.3,20.23
영국,2008,15.89,21.87
영국,2009,14.66,20.07
영국,2010,16.37,22.58
영국,2011,17.83,23.92
영국,2012,17.31,23.61
영국,2013,16.89,23.22
영국,2014,15.46,21.96
영국,2015,14.57,20.79
영국,2016,14.65,21.41
영국,2017,15.86,22.67
영국,2018,15.88,22.56
영국,2019,15.67,22
영국,2020,14.08,20.09
유로지역,2001,14.28,13.85
유로지역,2002,14.15,13.03
유로지역,2003,13.42,12.69
유로지역,2004,14.04,13.32
유로지역,2005,14.61,14.61
유로지역,2006,15.56,15.93
유로지역,2007,16.04,16.11
유로지역,2008,16.38,17.03
유로지역,2009,13.94,13.8
유로지역,2010,16.22,16.37
유로지역,2011,17.85,18.08
유로지역,2012,19.11,18.3
유로지역,2013,19.1,17.58
유로지역,2014,19.1,17.32
유로지역,2015,19.41,17.15
유로지역,2016,18.95,16.5
유로지역,2017,19.62,17.52
오세아니아,2001,,
오세아니아,2002,,
오세아니아,2003,,
오세아니아,2004,,
오세아니아,2005,,
오세아니아,2006,,
오세아니아,2007,,
오세아니아,2008,,
오세아니아,2009,,
오세아니아,2010,,
오세아니아,2011,,
오세아니아,2012,,
오세아니아,2013,,
오세아니아,2014,,
오세아니아,2015,,
오세아니아,2016,,
오세아니아,2017,,
오세아니아,2018,,
오세아니아,2019,,
오세아니아,2020,,
오스트레일리아,2001,16.73,17
오스트레일리아,2002,16.48,18.5
오스트레일리아,2003,15.08,19.09
오스트레일리아,2004,14.13,17.88
오스트레일리아,2005,15.3,18.04
오스트레일리아,2006,16.55,18.67
오스트레일리아,2007,16.57,19.38
오스트레일리아,2008,17.77,19.01
오스트레일리아,2009,16.63,17.83
오스트레일리아,2010,18.55,17.62
오스트레일리아,2011,19.36,17.43
오스트레일리아,2012,16.58,16.85
오스트레일리아,2013,16.03,14.86
오스트레일리아,2014,16.35,14.59
오스트레일리아,2015,13.89,11.61
오스트레일리아,2016,15.92,12.09
오스트레일리아,2017,17.38,13.22
오스트레일리아,2018,17.95,12.28
오스트레일리아,2019,19.41,11.03
오스트레일리아,2020,18.83,11.01
뉴질랜드,2001,25.48,24.7
뉴질랜드,2002,21.59,22.58
뉴질랜드,2003,18.73,21.03
뉴질랜드,2004,19.58,22.32
뉴질랜드,2005,18.94,22.87
뉴질랜드,2006,20.11,23.7
뉴질랜드,2007,19.41,22.37
뉴질랜드,2008,22.97,25.82
뉴질랜드,2009,20.53,21.07
뉴질랜드,2010,21.36,20.91
뉴질랜드,2011,22.38,22.05
뉴질랜드,2012,21.17,21.71
뉴질랜드,2013,20.66,20.76
뉴질랜드,2014,20.68,21.12
뉴질랜드,2015,19.29,20.53
뉴질랜드,2016,17.86,19.09
뉴질랜드,2017,18.39,19.38
뉴질랜드,2018,18.69,20.63
뉴질랜드,2019,18.9,20.26
뉴질랜드,2020,18.31,17.48
