국가별,시점,실업률
한국,2000,4.4
한국,2001,4
한국,2002,3.3
한국,2003,3.6
한국,2004,3.7
한국,2005,3.7
한국,2006,3.5
한국,2007,3.2
한국,2008,3.2
한국,2009,3.6
한국,2010,3.7
한국,2011,3.4
한국,2012,3.2
한국,2013,3.1
한국,2014,3.5
한국,2015,3.6
한국,2016,3.7
한국,2017,3.7
한국,2018,3.8
한국,2019,3.8
한국,2020,4
이스라엘,2000,11.1
이스라엘,2001,11.8
이스라엘,2002,12.9
이스라엘,2003,13.5
이스라엘,2004,13
이스라엘,2005,11.3
이스라엘,2006,10.7
이스라엘,2007,9.4
이스라엘,2008,7.7
이스라엘,2009,9.5
이스라엘,2010,8.5
이스라엘,2011,7.1
이스라엘,2012,6.9
이스라엘,2013,6.2
이스라엘,2014,5.9
이스라엘,2015,5.3
이스라엘,2016,4.8
이스라엘,2017,4.2
이스라엘,2018,4
이스라엘,2019,3.8
이스라엘,2020,4.3
일본,2000,4.8
일본,2001,5
일본,2002,5.4
일본,2003,5.3
일본,2004,4.7
일본,2005,4.5
일본,2006,4.2
일본,2007,3.9
일본,2008,4
일본,2009,5.1
일본,2010,5.1
일본,2011,4.6
일본,2012,4.4
일본,2013,4
일본,2014,3.6
일본,2015,3.4
일본,2016,3.1
일본,2017,2.8
일본,2018,2.4
일본,2019,2.4
일본,2020,2.8
터키,2000,6.5
터키,2001,8.4
터키,2002,10.4
터키,2003,10.5
터키,2004,10.8
터키,2005,10.6
터키,2006,8.7
터키,2007,8.9
터키,2008,9.7
터키,2009,12.6
터키,2010,10.7
터키,2011,8.8
터키,2012,8.2
터키,2013,8.7
터키,2014,9.9
터키,2015,10.2
터키,2016,10.8
터키,2017,10.8
터키,2018,10.9
터키,2019,13.7
터키,2020,13.1
캐나다,2000,6.8
캐나다,2001,7.2
캐나다,2002,7.7
캐나다,2003,7.6
캐나다,2004,7.2
캐나다,2005,6.8
캐나다,2006,6.3
캐나다,2007,6
캐나다,2008,6.1
캐나다,2009,8.3
캐나다,2010,8.1
캐나다,2011,7.5
캐나다,2012,7.3
캐나다,2013,7.1
캐나다,2014,6.9
캐나다,2015,6.9
캐나다,2016,7
캐나다,2017,6.3
캐나다,2018,5.8
캐나다,2019,5.7
캐나다,2020,9.5
멕시코,2000,2.7
멕시코,2001,2.6
멕시코,2002,3
멕시코,2003,3.5
멕시코,2004,3.9
멕시코,2005,3.6
멕시코,2006,3.6
멕시코,2007,3.6
멕시코,2008,3.9
멕시코,2009,5.4
멕시코,2010,5.3
멕시코,2011,5.2
멕시코,2012,4.9
멕시코,2013,4.9
멕시코,2014,4.8
멕시코,2015,4.3
멕시코,2016,3.9
멕시코,2017,3.4
멕시코,2018,3.3
멕시코,2019,3.5
멕시코,2020,4.5
미국,2000,4
미국,2001,4.7
미국,2002,5.8
미국,2003,6
미국,2004,5.5
미국,2005,5.1
미국,2006,4.6
미국,2007,4.6
미국,2008,5.8
미국,2009,9.3
미국,2010,9.6
미국,2011,9
미국,2012,8.1
미국,2013,7.4
미국,2014,6.2
미국,2015,5.3
미국,2016,4.9
미국,2017,4.4
미국,2018,3.9
미국,2019,3.7
미국,2020,8.1
칠레,2000,10.5
칠레,2001,10.4
칠레,2002,10.2
칠레,2003,9.8
칠레,2004,10.2
칠레,2005,9.3
칠레,2006,9
칠레,2007,8.4
칠레,2008,9.3
칠레,2009,11.3
칠레,2010,8.4
칠레,2011,7.3
칠레,2012,6.7
칠레,2013,6.2
칠레,2014,6.7
칠레,2015,6.5
칠레,2016,6.7
칠레,2017,7
칠레,2018,7.2
칠레,2019,7.3
칠레,2020,11.2
콜롬비아,2000,20.5
콜롬비아,2001,15
콜롬비아,2002,14.5
콜롬비아,2003,13.2
콜롬비아,2004,12.7
콜롬비아,2005,11.1
콜롬비아,2006,11.3
콜롬비아,2007,10.3
콜롬비아,2008,10.5
콜롬비아,2009,11.3
콜롬비아,2010,11
콜롬비아,2011,10.1
콜롬비아,2012,9.7
콜롬비아,2013,9.1
콜롬비아,2014,8.6
콜롬비아,2015,8.3
콜롬비아,2016,8.7
콜롬비아,2017,8.9
콜롬비아,2018,9.1
콜롬비아,2019,10
콜롬비아,2020,15
코스타리카,2000,5.1
코스타리카,2001,5.9
코스타리카,2002,6.3
코스타리카,2003,6.6
코스타리카,2004,6.4
코스타리카,2005,6.6
코스타리카,2006,5.7
코스타리카,2007,4.5
코스타리카,2008,4.8
코스타리카,2009,7.7
코스타리카,2010,7.2
코스타리카,2011,10.1
코스타리카,2012,9.8
코스타리카,2013,8.8
코스타리카,2014,9.1
코스타리카,2015,9
코스타리카,2016,8.6
코스타리카,2017,8.1
코스타리카,2018,9.6
코스타리카,2019,11.5
코스타리카,2020,17.4
오스트리아,2000,4.7
오스트리아,2001,4
오스트리아,2002,4.9
오스트리아,2003,4.8
오스트리아,2004,5.8
오스트리아,2005,5.6
오스트리아,2006,5.2
오스트리아,2007,4.9
오스트리아,2008,4.1
오스트리아,2009,5.3
오스트리아,2010,4.8
오스트리아,2011,4.6
오스트리아,2012,4.9
오스트리아,2013,5.3
오스트리아,2014,5.6
오스트리아,2015,5.7
오스트리아,2016,6
오스트리아,2017,5.5
오스트리아,2018,4.9
오스트리아,2019,4.5
오스트리아,2020,5.4
벨기에,2000,6.6
벨기에,2001,6.2
벨기에,2002,6.9
벨기에,2003,7.7
벨기에,2004,7.4
벨기에,2005,8.4
벨기에,2006,8.3
벨기에,2007,7.5
벨기에,2008,7
벨기에,2009,7.9
벨기에,2010,8.3
벨기에,2011,7.1
벨기에,2012,7.5
벨기에,2013,8.4
벨기에,2014,8.5
벨기에,2015,8.5
벨기에,2016,7.8
벨기에,2017,7.1
벨기에,2018,6
벨기에,2019,5.4
벨기에,2020,5.6
체코,2000,8.8
체코,2001,8
체코,2002,7
체코,2003,7.5
체코,2004,8.2
체코,2005,7.9
체코,2006,7.2
체코,2007,5.3
체코,2008,4.4
체코,2009,6.7
체코,2010,7.3
체코,2011,6.7
체코,2012,7
체코,2013,7
체코,2014,6.1
체코,2015,5.1
체코,2016,4
체코,2017,2.9
체코,2018,2.2
체코,2019,2
체코,2020,2.6
덴마크,2000,4.5
덴마크,2001,4.2
덴마크,2002,4.3
덴마크,2003,5.4
덴마크,2004,5.2
덴마크,2005,4.8
덴마크,2006,3.9
덴마크,2007,3.8
덴마크,2008,3.7
덴마크,2009,6.4
덴마크,2010,7.8
덴마크,2011,7.8
덴마크,2012,7.8
덴마크,2013,7.4
덴마크,2014,6.9
덴마크,2015,6.3
덴마크,2016,6
덴마크,2017,5.8
덴마크,2018,5.1
덴마크,2019,5
덴마크,2020,5.6
에스토니아,2000,13.4
에스토니아,2001,13.1
에스토니아,2002,10
에스토니아,2003,11.3
에스토니아,2004,10.3
에스토니아,2005,8
에스토니아,2006,5.9
에스토니아,2007,4.6
에스토니아,2008,5.5
에스토니아,2009,13.6
에스토니아,2010,16.7
에스토니아,2011,12.3
에스토니아,2012,10
에스토니아,2013,8.6
에스토니아,2014,7.4
에스토니아,2015,6.2
에스토니아,2016,6.8
에스토니아,2017,5.8
에스토니아,2018,5.4
에스토니아,2019,4.5
에스토니아,2020,6.8
핀란드,2000,11.1
핀란드,2001,10.3
핀란드,2002,10.4
핀란드,2003,10.5
핀란드,2004,10.4
핀란드,2005,8.4
핀란드,2006,7.7
핀란드,2007,6.9
핀란드,2008,6.4
핀란드,2009,8.3
핀란드,2010,8.4
핀란드,2011,7.8
핀란드,2012,7.7
핀란드,2013,8.2
핀란드,2014,8.7
핀란드,2015,9.4
핀란드,2016,8.8
핀란드,2017,8.6
핀란드,2018,7.4
핀란드,2019,6.7
핀란드,2020,7.8
프랑스,2000,10.2
프랑스,2001,8.6
프랑스,2002,8.7
프랑스,2003,8.3
프랑스,2004,8.9
프랑스,2005,8.5
프랑스,2006,8.5
프랑스,2007,7.7
프랑스,2008,7.1
프랑스,2009,8.7
프랑스,2010,8.9
프랑스,2011,8.8
프랑스,2012,9.4
프랑스,2013,9.9
프랑스,2014,10.3
프랑스,2015,10.4
프랑스,2016,10.1
프랑스,2017,9.4
프랑스,2018,9
프랑스,2019,8.4
프랑스,2020,8
독일,2000,7.9
독일,2001,7.8
독일,2002,8.5
독일,2003,9.8
독일,2004,10.7
독일,2005,11.2
독일,2006,10.3
독일,2007,8.7
독일,2008,7.5
독일,2009,7.7
독일,2010,7
독일,2011,5.8
독일,2012,5.4
독일,2013,5.2
독일,2014,5
독일,2015,4.6
독일,2016,4.1
독일,2017,3.8
독일,2018,3.4
독일,2019,3.1
독일,2020,3.8
그리스,2000,11.3
그리스,2001,10.5
그리스,2002,10
그리스,2003,9.4
그리스,2004,10.3
그리스,2005,10
그리스,2006,9
그리스,2007,8.4
그리스,2008,7.8
그리스,2009,9.6
그리스,2010,12.7
그리스,2011,17.9
그리스,2012,24.4
그리스,2013,27.5
그리스,2014,26.5
그리스,2015,24.9
그리스,2016,23.5
그리스,2017,21.5
그리스,2018,19.3
그리스,2019,17.3
그리스,2020,16.3
헝가리,2000,6.6
헝가리,2001,5.7
헝가리,2002,5.6
헝가리,2003,5.8
헝가리,2004,5.8
헝가리,2005,7.2
헝가리,2006,7.5
헝가리,2007,7.4
헝가리,2008,7.8
헝가리,2009,10
헝가리,2010,11.2
헝가리,2011,11
헝가리,2012,11
헝가리,2013,10.2
헝가리,2014,7.7
헝가리,2015,6.8
헝가리,2016,5.1
헝가리,2017,4.2
헝가리,2018,3.7
헝가리,2019,3.4
헝가리,2020,4.3
아이슬란드,2000,1.9
아이슬란드,2001,1.9
아이슬란드,2002,3
아이슬란드,2003,4
아이슬란드,2004,4
아이슬란드,2005,2.6
아이슬란드,2006,2.8
아이슬란드,2007,2.3
아이슬란드,2008,3
아이슬란드,2009,7.2
아이슬란드,2010,7.6
아이슬란드,2011,7
아이슬란드,2012,6
아이슬란드,2013,5.4
아이슬란드,2014,4.9
아이슬란드,2015,4
아이슬란드,2016,3
아이슬란드,2017,2.7
아이슬란드,2018,2.7
아이슬란드,2019,3.5
아이슬란드,2020,5.5
아일랜드,2000,4.3
아일랜드,2001,3.7
아일랜드,2002,4.2
아일랜드,2003,4.5
아일랜드,2004,4.5
아일랜드,2005,4.3
아일랜드,2006,4.4
아일랜드,2007,5
아일랜드,2008,6.8
아일랜드,2009,12.6
아일랜드,2010,14.5
아일랜드,2011,15.4
아일랜드,2012,15.5
아일랜드,2013,13.7
아일랜드,2014,11.9
아일랜드,2015,9.9
아일랜드,2016,8.4
아일랜드,2017,6.7
아일랜드,2018,5.7
아일랜드,2019,5
아일랜드,2020,5.6
이탈리아,2000,10.8
이탈리아,2001,9.6
이탈리아,2002,9.2
이탈리아,2003,8.9
이탈리아,2004,7.9
이탈리아,2005,7.7
이탈리아,2006,6.8
이탈리아,2007,6.1
이탈리아,2008,6.7
이탈리아,2009,7.8
이탈리아,2010,8.4
이탈리아,2011,8.4
이탈리아,2012,10.7
이탈리아,2013,12.2
이탈리아,2014,12.7
이탈리아,2015,11.9
이탈리아,2016,11.7
이탈리아,2017,11.2
이탈리아,2018,10.6
이탈리아,2019,10
이탈리아,2020,9.2
라트비아,2000,14.2
라트비아,2001,13.8
라트비아,2002,13.8
라트비아,2003,12.1
라트비아,2004,11.7
라트비아,2005,10
라트비아,2006,7
라트비아,2007,6.1
라트비아,2008,7.7
라트비아,2009,17.5
라트비아,2010,19.5
라트비아,2011,16.2
라트비아,2012,15.1
라트비아,2013,11.9
라트비아,2014,10.9
라트비아,2015,9.9
라트비아,2016,9.6
라트비아,2017,8.7
라트비아,2018,7.4
라트비아,2019,6.3
라트비아,2020,8.1
리히텐슈타인,2000,1.3
리히텐슈타인,2001,1.1
리히텐슈타인,2002,1.5
리히텐슈타인,2003,2.1
리히텐슈타인,2004,2.4
리히텐슈타인,2005,2.7
리히텐슈타인,2006,2.5
리히텐슈타인,2007,2
리투아니아,2000,15.9
리투아니아,2001,16.8
리투아니아,2002,13
리투아니아,2003,12.9
리투아니아,2004,10.7
리투아니아,2005,8.3
리투아니아,2006,5.8
리투아니아,2007,4.3
리투아니아,2008,5.8
리투아니아,2009,13.8
리투아니아,2010,17.8
리투아니아,2011,15.4
리투아니아,2012,13.4
리투아니아,2013,11.8
리투아니아,2014,10.7
리투아니아,2015,9.1
리투아니아,2016,7.9
리투아니아,2017,7.1
리투아니아,2018,6.2
리투아니아,2019,6.3
리투아니아,2020,8.5
룩셈부르크,2000,2.4
룩셈부르크,2001,1.8
룩셈부르크,2002,2.6
룩셈부르크,2003,3.7
룩셈부르크,2004,5.1
룩셈부르크,2005,4.5
룩셈부르크,2006,4.7
룩셈부르크,2007,4.1
룩셈부르크,2008,5.1
룩셈부르크,2009,5.1
룩셈부르크,2010,4.4
룩셈부르크,2011,4.9
룩셈부르크,2012,5.1
룩셈부르크,2013,5.9
룩셈부르크,2014,5.9
룩셈부르크,2015,6.7
룩셈부르크,2016,6.3
룩셈부르크,2017,5.5
룩셈부르크,2018,5.6
룩셈부르크,2019,5.6
룩셈부르크,2020,6.8
네덜란드,2000,2.7
네덜란드,2001,2.1
네덜란드,2002,2.6
네덜란드,2003,3.6
네덜란드,2004,4.7
네덜란드,2005,5.9
네덜란드,2006,5
네덜란드,2007,4.2
네덜란드,2008,3.7
네덜란드,2009,4.4
네덜란드,2010,5
네덜란드,2011,5
네덜란드,2012,5.8
네덜란드,2013,7.2
네덜란드,2014,7.4
네덜란드,2015,6.9
네덜란드,2016,6
네덜란드,2017,4.8
네덜란드,2018,3.8
네덜란드,2019,3.4
네덜란드,2020,3.8
노르웨이,2000,3.5
노르웨이,2001,3.7
노르웨이,2002,4
노르웨이,2003,4.2
노르웨이,2004,4.3
노르웨이,2005,4.4
노르웨이,2006,3.4
노르웨이,2007,2.5
노르웨이,2008,2.6
노르웨이,2009,3.1
노르웨이,2010,3.5
노르웨이,2011,3.2
노르웨이,2012,3.1
노르웨이,2013,3.4
노르웨이,2014,3.5
노르웨이,2015,4.3
노르웨이,2016,4.7
노르웨이,2017,4.2
노르웨이,2018,3.8
노르웨이,2019,3.7
노르웨이,2020,4.4
폴란드,2000,16.3
폴란드,2001,18.4
폴란드,2002,19.9
폴란드,2003,19.4
폴란드,2004,19.1
폴란드,2005,17.8
폴란드,2006,13.8
폴란드,2007,9.6
폴란드,2008,7.1
폴란드,2009,8.2
폴란드,2010,9.6
폴란드,2011,9.6
폴란드,2012,10.1
폴란드,2013,10.3
폴란드,2014,9
폴란드,2015,7.5
폴란드,2016,6.2
폴란드,2017,4.9
폴란드,2018,3.9
폴란드,2019,3.3
폴란드,2020,3.2
포르투갈,2000,3.8
포르투갈,2001,3.8
포르투갈,2002,4.5
포르투갈,2003,6.1
포르투갈,2004,6.3
포르투갈,2005,7.6
포르투갈,2006,7.7
포르투갈,2007,8
포르투갈,2008,7.6
포르투갈,2009,9.4
포르투갈,2010,10.8
포르투갈,2011,12.7
포르투갈,2012,15.5
포르투갈,2013,16.2
포르투갈,2014,13.9
포르투갈,2015,12.4
포르투갈,2016,11.1
포르투갈,2017,8.9
포르투갈,2018,7
포르투갈,2019,6.5
포르투갈,2020,6.8
슬로바키아,2000,19.1
슬로바키아,2001,19.4
슬로바키아,2002,18.7
슬로바키아,2003,17.1
슬로바키아,2004,18.6
슬로바키아,2005,16.3
슬로바키아,2006,13.4
슬로바키아,2007,11.1
슬로바키아,2008,9.5
슬로바키아,2009,12
슬로바키아,2010,14.4
슬로바키아,2011,13.6
슬로바키아,2012,14
슬로바키아,2013,14.2
슬로바키아,2014,13.2
슬로바키아,2015,11.5
슬로바키아,2016,9.7
슬로바키아,2017,8.1
슬로바키아,2018,6.5
슬로바키아,2019,5.8
슬로바키아,2020,6.7
슬로베니아,2000,6.9
슬로베니아,2001,5.7
슬로베니아,2002,5.9
슬로베니아,2003,6.5
슬로베니아,2004,6
슬로베니아,2005,6.5
슬로베니아,2006,6
슬로베니아,2007,4.8
슬로베니아,2008,4.4
슬로베니아,2009,5.9
슬로베니아,2010,7.2
슬로베니아,2011,8.2
슬로베니아,2012,8.8
슬로베니아,2013,10.1
슬로베니아,2014,9.7
슬로베니아,2015,9
슬로베니아,2016,8
슬로베니아,2017,6.6
슬로베니아,2018,5.1
슬로베니아,2019,4.5
슬로베니아,2020,5
스페인,2000,13.8
스페인,2001,10.4
스페인,2002,11.2
스페인,2003,11.3
스페인,2004,11.1
스페인,2005,9.2
스페인,2006,8.5
스페인,2007,8.2
스페인,2008,11.3
스페인,2009,17.9
스페인,2010,19.9
스페인,2011,21.4
스페인,2012,24.8
스페인,2013,26.1
스페인,2014,24.4
스페인,2015,22.1
스페인,2016,19.6
스페인,2017,17.2
스페인,2018,15.3
스페인,2019,14.1
스페인,2020,15.5
스웨덴,2000,5.5
스웨덴,2001,4.7
스웨덴,2002,5
스웨덴,2003,5.6
스웨덴,2004,6.7
스웨덴,2005,7.5
스웨덴,2006,7.1
스웨덴,2007,6.2
스웨덴,2008,6.2
스웨덴,2009,8.4
스웨덴,2010,8.6
스웨덴,2011,7.8
스웨덴,2012,8
스웨덴,2013,8.1
스웨덴,2014,8
스웨덴,2015,7.4
스웨덴,2016,7
스웨덴,2017,6.7
스웨덴,2018,6.4
스웨덴,2019,6.8
스웨덴,2020,8.3
스위스,2000,2.7
스위스,2001,2.5
스위스,2002,2.9
스위스,2003,4.1
스위스,2004,4.3
스위스,2005,4.4
스위스,2006,4
스위스,2007,3.7
스위스,2008,3.4
스위스,2009,4.1
스위스,2010,4.8
스위스,2011,4.4
스위스,2012,4.5
스위스,2013,4.8
스위스,2014,4.8
스위스,2015,4.8
스위스,2016,4.9
스위스,2017,4.8
스위스,2018,4.7
스위스,2019,4.4
스위스,2020,4.8
영국,2000,5.6
영국,2001,4.7
영국,2002,5
영국,2003,4.8
영국,2004,4.6
영국,2005,4.8
영국,2006,5.4
영국,2007,5.3
영국,2008,5.6
영국,2009,7.5
영국,2010,7.8
영국,2011,8
영국,2012,7.9
영국,2013,7.5
영국,2014,6.1
영국,2015,5.3
영국,2016,4.8
영국,2017,4.3
영국,2018,4
영국,2019,3.7
오스트레일리아,2000,6.3
오스트레일리아,2001,6.7
오스트레일리아,2002,6.4
오스트레일리아,2003,5.9
오스트레일리아,2004,5.4
오스트레일리아,2005,5
오스트레일리아,2006,4.8
오스트레일리아,2007,4.4
오스트레일리아,2008,4.2
오스트레일리아,2009,5.6
오스트레일리아,2010,5.2
오스트레일리아,2011,5.1
오스트레일리아,2012,5.2
오스트레일리아,2013,5.7
오스트레일리아,2014,6.1
오스트레일리아,2015,6.1
오스트레일리아,2016,5.7
오스트레일리아,2017,5.6
오스트레일리아,2018,5.3
오스트레일리아,2019,5.2
오스트레일리아,2020,6.5
뉴질랜드,2000,6.1
뉴질랜드,2001,5.4
뉴질랜드,2002,5.3
뉴질랜드,2003,4.8
뉴질랜드,2004,4
뉴질랜드,2005,3.8
뉴질랜드,2006,3.9
뉴질랜드,2007,3.7
뉴질랜드,2008,4.2
뉴질랜드,2009,6.1
뉴질랜드,2010,6.6
뉴질랜드,2011,6.5
뉴질랜드,2012,6.9
뉴질랜드,2013,5.8
뉴질랜드,2014,5.4
뉴질랜드,2015,5.4
뉴질랜드,2016,5.2
뉴질랜드,2017,4.7
뉴질랜드,2018,4.3
뉴질랜드,2019,4.1
뉴질랜드,2020,4.6
